iterations,threads,time_in_ns,matrix_size,gmacs
18,c0,17526000,504,7.30480794248545
19,c0,12205000,504,10.48947677181483
20,c0,2795000,504,45.8046740608229
21,c0,14841000,504,8.626377198302
22,c0,8123000,504,15.760687430752185
23,c0,7297000,504,17.54475318624092
24,c0,3311000,504,38.66628329809725
0,c0,20596000,528,7.146919401825597
1,c0,4548000,528,32.365424802110816
2,c0,19367000,528,7.600451902721123
3,c0,11428000,528,12.880464823241162
4,c0,4524000,528,32.53712466843501
5,c0,19350000,528,7.607129302325581
6,c0,14033000,528,10.489414380389082
7,c0,12289000,528,11.978025225811702
8,c0,14878000,528,9.893665277591074
9,c0,4434000,528,33.19755345060893
10,c0,27092000,528,5.433262660564004
11,c0,5069000,528,29.03885421187611
12,c0,3117000,528,47.22423869104909
13,c0,16859000,528,8.73111999525476
14,c0,11828000,528,12.44487250591816
15,c0,3216000,528,45.77050746268657
16,c0,11821000,528,12.452241942306065
17,c0,17339000,528,8.489414153065344
18,c0,3136000,528,46.93812244897959
19,c0,18857000,528,7.806011136448004
20,c0,11910000,528,12.359189924433249
21,c0,3731000,528,39.452680782632
22,c0,11742000,528,12.536020439448135
23,c0,18013000,528,8.171762171764836
24,c0,3596000,528,40.933802002224695
0,c0,16167000,552,10.403699387641492
1,c0,20290000,552,8.289630754066042
2,c0,14069000,552,11.955121757054517
3,c0,17910000,552,9.391212060301507
4,c0,12612000,552,13.336235965746909
5,c0,7623000,552,22.06435891381346
6,c0,16680000,552,10.083729496402878
7,c0,9334000,552,18.01977801585601
8,c0,9343000,552,18.002419779514074
9,c0,14133000,552,11.900984079813202
10,c0,10752000,552,15.643285714285714
11,c0,6063000,552,27.741482434438396
12,c0,19102000,552,8.80518312218616
13,c0,9829000,552,17.11228080170923
14,c0,25373000,552,6.628960233318883
15,c0,5890000,552,28.556300169779288
16,c0,8596000,552,19.566845974872034
17,c0,21750000,552,7.733177379310344
18,c0,7352000,552,22.87766702937976
19,c0,25787000,552,6.522534920696475
20,c0,26093000,552,6.446043306633963
21,c0,12304000,552,13.670075422626788
22,c0,16132000,552,10.426271262087775
23,c0,9659000,552,17.413459778444974
24,c0,8474000,552,19.848549445362284
0,c0,80353000,576,2.378292982215972
1,c0,29235000,576,6.536787275525911
2,c0,9486000,576,20.14579127134725
3,c0,10542000,576,18.12777233921457
4,c0,20480000,576,9.3312
5,c0,9714000,576,19.672943792464483
6,c0,6447000,576,29.642155421126105
7,c0,23897000,576,7.996944218939616
8,c0,5216000,576,36.637840490797544
9,c0,16046000,576,11.909695625077902
10,c0,5212000,576,36.66595855717575
11,c0,26886000,576,7.107899129658558
12,c0,6982000,576,27.370807218562017
13,c0,21857000,576,8.743330557716064
14,c0,12800000,576,14.92992
15,c0,8266000,576,23.1191599322526
16,c0,5780000,576,33.062798615916954
17,c0,21510000,576,8.884378242677824
18,c0,6229000,576,30.679559479852305
19,c0,25744000,576,7.423204474829086
20,c0,6550000,576,29.17602687022901
21,c0,17784000,576,10.745781376518218
22,c0,14289000,576,13.374132269577997
23,c0,3699000,576,51.66341605839416
24,c0,23835000,576,8.01774600377596
0,c0,17523000,600,12.326656394453005
1,c0,19185000,600,11.25879593432369
2,c0,10362000,600,20.845396641574986
3,c0,34944000,600,6.181318681318682
4,c0,11490000,600,18.798955613577025
5,c0,15840000,600,13.636363636363637
6,c0,11206000,600,19.275388184900947
7,c0,6176000,600,34.97409326424871
8,c0,24407000,600,8.849920104887943
9,c0,7033000,600,30.712356035831082
10,c0,9028000,600,23.925564909171467
11,c0,13618000,600,15.861359964752534
12,c0,12109000,600,17.837971756544718
13,c0,17064000,600,12.658227848101266
14,c0,52611000,600,4.105605291669042
15,c0,26581000,600,8.126105112674466
16,c0,9970000,600,21.664994984954866
17,c0,18695000,600,11.553891414816796
18,c0,10930000,600,19.762122598353155
19,c0,27287000,600,7.915857367977425
20,c0,17440000,600,12.385321100917432
21,c0,16256000,600,13.28740157480315
22,c0,13026000,600,16.582220175034546
23,c0,17506000,600,12.338626756540615
24,c0,19861000,600,10.875585317959821
0,c0,15184000,624,16.001753424657533
1,c0,23318000,624,10.419874088686852
2,c0,12244000,624,19.844056190787324
3,c0,21692000,624,11.20093232528121
4,c0,11291000,624,21.518964130723585
5,c0,18279000,624,13.292336779911373
6,c0,8126000,624,29.900396751169087
7,c0,16172000,624,15.024154340836013
8,c0,29644000,624,8.196283362569154
9,c0,8523000,624,28.50764097148891
10,c0,16018000,624,15.168599325758521
11,c0,25178000,624,9.6501161331321
12,c0,6682000,624,36.361961089494166
13,c0,20576000,624,11.808447900466563
14,c0,10000000,624,24.2970624
